source	target
Ти так завис від телефону, що забув провітрити кімнату.	Ты так завис в телефоне, что забыл проветрить комнату.
У холодильнику закінчилися яйця, треба сходити в магазин.	В холодильнике кончились яйца, нужно сходить в магазин.
Після тренування болять ноги, але це того варте.	После тренировки ноги болят, но это того стоит.
Як дістатись до вокзалу з центру?	Как добраться до вокзала из центра?
На роботі зірвався дедлайн, і всі мовчать під столом.	На работе сорвался дедлайн, и все молчат под столом.
Ти чув, що вчора в метро стався прикол, всі сміялись?	Ты слышал, что вчера в метро произошёл прикол, все смеялись?
Ух, чому цей ноутбук такий повільний? Він знов завис.	Ай, почему этот ноутбук такой медленный? Он снова завис.
Петрові відмовили у підвищенні, але він не здається.	Петру отказали в повышении, но он не сдаётся.
Ходімо на вихідні до моря, але погода знову псує плани?	Поедем на выходные к морю, но погода снова портит планы?
Замовив новий телефон онлайн, але кур'єр заблукав і зіпсував настрій.	Заказал новый телефон онлайн, но курьер заблудился и испортил настроение.
Лікар сказав, що треба їсти менше солодкого, а я не могу втриматися.	Врач сказал, что нужно есть меньше сладкого, а я не могу удержаться.
Потрібно швидко дописати звіти до кінця дня, бо бос знову влаштує нам виговор.	Нужно быстро дописать отчёты к концу дня, потому что босс снова устроит нам выговор.
Мені сьогодні так лінь мити посуд.	Мне сегодня так лень мыть посуду.
Ти знаєш, як дістатися до вокзалу з аеропорту без таксі?	Ты знаешь, как добраться до вокзала из аэропорта без такси?
Замовив джинси онлайн, а кур'єр прийшов із запізненням.	Заказал джинсы онлайн, а курьер приехал с опозданием.
Крутезна музика, але фільм такий нудний — дивлюсь через силу.	Крутейшая музыка, но фильм такой скучный — смотрю через силу.
На роботі сьогодні так напружено: дедлайни навалюються, а колега знову забув принести звіт.	На работе сегодня так напряженно: дедлайны наваливаются, а коллега снова забыл принести отчёт.
Минулого місяця поїхав на поїзді до моря: краса, але кондиціонер барахлить.	В прошлом месяце поехал на поезде к морю: красота, но кондиционер барахлит.
Купив нову куртку на секонді, але в ній дірка.	Купил новую куртку на секонд-хенде, но в ней дыра.
Я щодня катаюся на велосипеді, але сьогодні колесо спустилося.	Я каждый день катаюсь на велосипеде, но сегодня колесо спустилось.
Тільки-що подивився фільм і реготав до упаду.	Только что посмотрел фильм и смеялся до упаду.
Потрібно переробити звіт до кінця дня, інакше начальник знову почне придиратися.	Нужно переделать отчет до конца дня, иначе начальник снова начнет придираться.
Я забув принести ключі від квартири.	Я забыл принести ключи от квартиры.
Купив нову симку для телефону, тепер користуюсь мобільним інтернетом.	Купил новую симку для телефона, теперь пользуюсь мобильным интернетом.
Мені подобається катати на велосипеді по парку рано вранці.	Мне нравится кататься на велосипеде по парку рано утром.
Це моє улюблене блюдо: борщ з пампушками, але сьогодні без сметани.	Это мое любимое блюдо: борщ с пампушками, но сегодня без сметаны.
На нараді знову завис комп'ютер, і я пропустив дедлайн.	На совещании снова завис компьютер, и я пропустил дедлайн.
Я забув паспорт вдома і не зміг сісти на поїзд.	Я забыл паспорт дома и не смог сесть на поезд.
Замовив онлайн навушники, але помилився з розміром — доведеться повертати.	Заказал онлайн наушники, но перепутал размер — придётся вернуть.
У цьому спортзалі так жарко, що тренування стало справжнім випробуванням.	В этом спортзале так жарко, что тренировка стала настоящим испытанием.
Ми з другом сперечались щодо кінокартини і так і не дійшли до спільної думки.	Мы с другом спорили из-за фильма, но так и не достигли общего мнения.
На роботі знову накосячив у звіті, але зараз встиг все виправити.	На работе снова накосячил в отчёте, но сейчас успел всё исправить.
Їду потягом і знову забув квиток удома — типова історія.	Еду на поезде и снова забыл билет дома — типичная история.
Замовив новий телефон онлайн, але продавець надіслав іншу модель.	Заказал новый телефон онлайн, но продавец прислал другую модель.
Грав на турнірі з баскетболу, але в фіналі програв.	Играл на турнире по баскетболу, но в финале проиграл.
Сьогодні на обід зробив експеримент із поєднанням спецій, вийшло круто.	Сегодня на обед сделал эксперимент с сочетанием специй, вышло круто.
На роботі витратив весь день на наради, і ніяк не можу дописати звіт.	На работе провёл целый день на совещаниях, и никак не могу дописать отчёт.
Приготував борщ, але забув додати сметану.	Приготовил борщ, но забыл добавить сметану.
Їдемо у подорож потягом, дивимося цікаві пейзажі.	Едем в путешествие на поезде, смотрим красивые пейзажи.
Замовив смартфон через сайт Rozetka, використовуючи акаунт user_567.	Заказал смартфон через сайт Розетка, используя аккаунт user_567.
Зараз почав вивчати гітару, але пальці болять.	Сейчас начал учиться играть на гитаре, но пальцы болят.
Та ти прикольний, як ти так швидко зібрав ту штуку? Я в захваті.	Да ты крутой, как ты так быстро собрал ту штуку? Я в восторге.
Зранку у мене мозок закипів, але клієнт вимагає швидкої відповіді.	С утра у меня мозг закипел, но клиент требует быстрого ответа.
Я забув ключі вдома, тепер стою біля дверей і чекаю, поки хтось прийде.	Я забыл ключи дома, теперь стою у дверях и жду, пока кто-то придёт.
Спробував новий борщ: трохи гострий, але дуже смачний.	Попробовал новый борщ: немного острый, но очень вкусный.
Не хочу витрачати гроші на ту фірмову куртку — краще зекономлю на поїздку.	Не хочу тратить деньги на ту фирменную куртку — лучше сэкономлю на поездку.
Зранку знову забув ключі в квартирі, тепер запізнююся на нараду.	С утра снова забыл ключи в квартире, теперь опаздываю на нараду.
Мені здавалося, що потяг запізнюється майже на годину.	Мне казалось, что поезд опаздывает почти на час.
Купив сукню онлайн, але розмір не підійшов.	Купил платье онлайн, но размер не подошёл.
Та ти справді з розуму з'їхав? Я більше не можу з твоїми сюрпризами.	Да ты реально с ума сошёл? Я больше не могу с твоими сюрпризами.
Я на дієті, але не можу відмовитися від солодкого після обіду.	Я на диете, но не могу отказаться от сладкого после обеда.
У мене сьогодні дедлайн на роботі.	У меня сегодня дедлайн на работе.
Пішли в магазин за продуктами після тренування.	Пойдём в магазин за продуктами после тренировки.
Купив квитки на потяг до Львова.	Купил билеты на поезд до Львова.
Скільки часу варити борщ — підкажи?	Сколько времени варить борщ — подскажешь?
На майстер-класі з дизайну розповіли про нові інструменти.	На мастер-классе по дизайну рассказали о новых инструментах.
На нараді сьогодні шеф сказав, що бюджет уріжуть. Схоже, нам доведеться скоротити витрати.	На совещании сегодня шеф сказал, что бюджет урезают. Похоже, нам придётся сокращать расходы.
Хочу випити кави, але в офісі знову підняли ціни на все.	Хочу выпить кофе, но в офисе снова подняли цены на всё.
Вчора купив новий телефон, але він глючить: зависає екран і пропадає сигнал.	Вчера купил новый телефон, но он глючит: экран зависает и пропадает сигнал.
Якщо не вийде домовитися з постачальниками, нам доведеться відкласти запуск продукту.	Если не удастся договориться с поставщиками, нам придётся отложить запуск продукта.
Збираюся на тренування, але дістатися до залу набагато складніше, ніж думалося.	Готовлюсь к тренировке, но добраться до зала намного сложнее, чем думалось.
Потрібно зібрати звіти за квартал і надіслати їх керівнику до кінця дня.	Нужно собрать отчёты за квартал и отправить их руководителю до конца дня.
Хто забрав мій обід із холодильника?	Кто забрал мой обед из холодильника?
Я загубив маршрутку, треба знайти інший автобус.	Я потерял маршрутку, нужно найти другой автобус.
Цей борщ дуже смачний, додай ще трохи сметани.	Этот борщ очень вкусный, добавь ещё чуть-чуть сметаны.
Ми посварилися через дрібницю — слухай, я справді хочу помиритися!	Мы поссорились из-за пустяка — слушай, я действительно хочу помириться!
Пора нарешті дописати звіт, але дедлайн нестерпно близько, а на столі лунають сповіщення.	Пора наконец дописать отчёт, но дедлайн нестерпимо близок, а на столе звучат уведомления.
Блін, цей рейс затримують уже третій раз, капець.	Блин, этот рейс задерживают уже в третий раз, капец.
Я спробував нову піцу: тісто хрумке, сир тягнеться.	Я попробовал новую пиццу: тесто хрустящее, сыр тянется.
Встановив оновлення, але телефон почав зводити з розуму.	Установил обновление, но телефон начал сводить с ума.
Почав займатися спортом удома: роблю вправи по три хвилини, а далі лінь.	Начал заниматься спортом дома: делаю упражнения по три минуты, а потом лень.
Перший день на роботі, а начальник вже вимагає звітів.	Первый день на работе, а босс уже требует отчётов.
Купив квиток на потяг до Львова, але забув паспорт.	Купил билет на поезд до Львова, но забыл паспорт.
Ми посварилися з сусідом через паркан, і тепер майже не вітаємося, а довкола панує напружена тиша.	Мы поссорились с соседом из-за забора, и теперь почти не здороваемся, а вокруг царит напряженная тишина.
Я встановив новий додаток для медитації, але повідомлення приходять кожні півхвилини.	Я установил новое приложение для медитации, но уведомления приходят каждые полминуты.
Сиджу на дієті, але піца виглядає занадто апетитно.	Сижу на диете, но пицца выглядит слишком аппетитно.
Капець, цей проект тягнеться вже місяць.	Черт возьми, этот проект тянется уже месяц.
Я випадково купив квиток на неправильну дату.	Я случайно купил билет на неправильную дату.
Я забув ключі вдома і застряг у ліфті.	Я забыл ключи дома и застрял в лифте.
Головна кнопка на телефоні зламалася, тепер не можу розблокувати.	Главная кнопка на телефоне сломалась, теперь не могу разблокировать.
Замовив щось через застосунок, але кур'єр переплутав адресу доставки.	Заказал что-то через приложение, но курьер перепутал адрес доставки.
Та як так? Я забув взяти з собою ключ від машини.	Да как так? Я забыл взять с собой ключ от машины.
Можеш пояснити, чому це так дорого?	Можешь объяснить, почему это так дорого?
У магазині зараз розпродаж: усе по скидці, але черга космічна.	В магазине сейчас распродажа: всё по скидке, но очередь космическая.
Я нарешті склав іспит з математики, і тепер можу нормально заснути.	Я наконец сдал экзамен по математике, и теперь могу нормально выспаться.
Якщо ввечері підемо кататися на велосипеді, треба бути обережним на дорозі.	Если вечером поедем кататься на велосипеде, нужно быть осторожным на дороге.
Сьогодні так тяжко встати з ліжка, хочеться просто валятися до обіду.	Сегодня так тяжело встать с кровати, хочется просто валяться до обеда.
Я застряг у метро через поломку поїзда, відчуваю, що ми запізнимось.	Я застрял в метро из-за поломки поезда, чувствую, что мы опоздаем.
У мене на роботі новий проект і дедлайн наступного тижня.	У меня на работе новый проект, и дедлайн на следующей неделе.
Замовляв товар онлайн, але розмір не підійшов — буду повертати.	Заказывал товар онлайн, но размер не подошёл — буду возвращать.
Слухай, нам потрібно серйозно поговорити про наші стосунки?	Слушай, нам нужно серьёзно поговорить о наших отношениях?
Чи бачив ти той новий серіал? Він реально тримає в напрузі.	Ты видел тот новый сериал? Он реально держит в напряжении.
Замовив піцу онлайн, але кур'єр заблукав і прийшов із запізненням.	Заказал пиццу онлайн, но курьер заблудился и пришёл с опозданием.
Планую вибратися на вихідні до моря, але прогноз обіцяє шторм.	Планирую выбраться на выходные к морю, но прогноз обещает шторм.
Попросив колегу перевірити документ, але він зайнятий і не відповідає.	Попросил коллегу проверить документ, но он занят и не отвечает.
Я так втомився після тренування: серце стукає як барабан і дихати важко.	Я так устал после тренировки: сердце стучит как барабан и дышать трудно.
Потрібно закінчити презентацію і надіслати її менеджеру до кінця дня.	Нужно закончить презентацию и отправить её менеджеру до конца дня.
Коли я повернувся додому, котик знову зник під диваном, і я шукав його годину.	Когда вернулся домой, котик снова пропал под диваном, и я искал его целый час.
Замовив квитки онлайн, але платіж не пройшов, тож тепер шукаю спосіб заплатити повторно.	Заказал билеты онлайн, но платеж не прошёл, поэтому теперь ищу способ заплатить повторно.
У вихідні пробіг 10 км без зупинки і відчув себе неймовірно живим.	На выходных пробежал 10 км без остановки и почув себя невероятно живым.
Купив новий телефон, але камера виявилася гіршою за очікування, тож думаю повернути.	Купил новый телефон, но камера оказалась хуже ожиданий, поэтому думаю вернуть.
Працюю над складною задачею до півночі, бо клієнт не хоче переносити дедлайн.	Работаю над сложной задачей до полуночи, потому что клиент не хочет переносить дедлайн.
Дивлюся серіал — і зараз з'явилася думка прибрати кімнату, але лінь перемогла.	Смотрю сериал — и вот появилась мысль убрать комнату, но лень победила.
Поїдемо на вихідні за місто, щоб подивитися на той старий маяк?	Поедем на выходные за город, чтобы посмотреть на тот старый маяк?
Замовив смартфон через інтернет, але кур'єр переплутав адресу.	Заказал смартфон через интернет, но курьер перепутал адрес.
У спортзалі провів цілий день на гантелях, а тепер болить шия.	В спортзале провёл целый день на гантелях, а теперь болит шея.
Ходімо на матч сьогодні?	Пойдём сегодня на матч?
На роботі зараз повний хаос, але ми уложимся в дедлайн.	На работе сейчас полный хаос, но мы уложимся в дедлайн.
Як дістатися до вокзалу з центру?	Как добраться до вокзала из центра?
Хочу замовити кросівки онлайн, але розмір ніяк не можу визначити.	Хочу заказать кроссовки онлайн, но размер никак не могу определить.
Уяви, у новому серіалі такий крутий поворот сюжету!	Представь, в новом сериале такой крутой поворот сюжета!
На роботі нарешті закінчив той проект, але бухгалтерія знову забула затвердити витрати.	На работе наконец-то закончил тот проект, а бухгалтерия снова забыла утвердить расходы.
Я побіг до магазину за кросівками, але розмір закінчився.	Я побежал в магазин за кроссовками, но размер закончился.
Вчора з другом на велотреку — виявилось, що мої педалі зламались.	Вчера с другом на велотреке — оказалось, что мои педали сломались.
Я замовив каву онлайн, але забув залишити чайові, тепер соромно.	Я заказал кофе онлайн, но забыл оставить чаевые, теперь стыдно.
Дивлюсь серіал, а в голові крутиться лише одна думка: як швидко добратися до фіналу.	Смотрю сериал, в голове крутится лишь одна мысль: как быстрее добраться до финала.
Чувак, цей дедлайн тисне як плита, здається, ніколи не встигну.	Чувак, этот дедлайн давит как плита, кажется, я никогда не успею.
У цьому місті так шумно на вулицях, ти не хочеш втекти в парк?	В этом городе так шумно на улицах, ты не хочешь сбежать в парк?
Купив куртку онлайн, а прийшла зламана блискавка — ну капець!	Купил куртку онлайн, а пришла сломанная молния — ну капец!
Мені треба піти до лікаря — спина болить уже тижнями.	Мне нужно сходить к врачу — спина болит уже неделями.
Люблю кататися на велосипеді рано вранці перед роботою — повітря свіжіше за каву, а ти так починаєш день?	Люблю кататься на велосипеде рано утром перед работой — воздух свежее, чем кофе, а ты так начинаешь день?
Сьогодні на роботі сталося щось дивне: начальник забув про зустріч.	Сегодня на работе случилось что-то странное: начальник забыл о встрече.
Та ти, бляха, справді думаєш, що він мене поважає?	Да ты, блин, действительно думаешь, что он меня уважает?
Я знову заблукав у старому місті й не можу знайти вокзал.	Я снова заблудился в старом городе и не могу найти вокзал.
Замовив телефон онлайн, але кур'єр приніс його з подряпиною на корпусі.	Заказал телефон онлайн, но курьер принёс его с царапиной на корпусе.
Я нарешті записався до лікаря, бо болять суглоби після занять спортом.	Я наконец-то записался к врачу, потому что болят суставы после занятий спортом.
Я вчора застряг у метро: черга була така ж довга, як у ТЦ на розпродаж.	Я вчера застрял в метро: очередь была такая же длинная, как в торговом центре на распродаже.
Це просто шашлик на дачі — руки в диму, але смак того вартий.	Это просто шашлык на даче — руки в дыму, но вкус того стоит.
Телефон знову висне під час відеодзвінка, і хочеться на нього накричати.	Телефон снова виснет во время видеозвонка, и хочется на него накричать.
Якщо ти не прийдеш зараз, скажи швидко — нехай хтось піде замість мене. Я вже втомився чекати.	Если ты не придёшь сейчас, скажи быстро — пусть кто-нибудь уйдёт вместо меня. Я уже устал ждать.
Купив нові кросівки онлайн, але розмір виявився занадто малим.	Купил новые кроссовки онлайн, но размер оказался слишком маленьким.
На роботі знову завалились справи, але я тримаю марку.	На работе снова завал дел, но я держу марку.
Сьогодні ходив у зал, але після тренування голова кругом від втоми.	Сегодня ходил в зал, но после тренировки голова кругом от усталости.
Забронював квиток на поїзд через застосунок, але підтвердження прийшло з запізненням.	Забронировал билет на поезд через приложение, но подтверждение пришло с опозданием.
Купив піцу з анчоусами, друзі кажуть, що це гадость.	Купил пиццу с анчоусами, друзья говорят, что это гадость.
Хочу швидко зібратися, бо зустріч через 15 хвилин.	Хочу быстро собраться, потому что встреча через 15 минут.
На роботі знову зависла система, довелося перезавантажити комп’ютер.	На работе снова зависла система, пришлось перезагружать компьютер.
Сьогодні на кухні зламався міксер — готуватиму без нього, як думаєш?	Сегодня на кухне сломался миксер — буду готовить без него, как думаешь?
Планую подорож у Карпати наступного тижня — треба взяти рюкзак і якісні черевики.	Планирую поездку в Карпаты на следующей неделе — нужно взять рюкзак и качественные ботинки.
Замовив нову кофту онлайн, але розмір виявився більшим.	Заказал новую кофту онлайн, но размер оказался большим.
Займаюся спортом на вулиці, але погода підвела — піду додому раніше.	Занимаюсь спортом на улице, но погода подвела — пойду домой пораньше.
На зустрічі з керівництвом я знову запізнився через пробку.	На встрече с руководством я снова опоздал из-за пробки.
Скажи чесно: ти хочеш розірвати стосунки, чи ми ще тримаємося?	Скажи честно: ты хочешь разорвать отношения, или мы ещё держимся?
Я застряг у аеропорту: рейс затримали на чотири години.	Я застрял в аэропорту: рейс задержали на четыре часа.
Ця піца з ананасами — повна нісенітниця.	Эта пицца с ананасами — полная чепуха.
Я купив нові навушники, але вони чомусь качають баси лише на мінімумі.	Я купил новые наушники, но они почему-то качают басы только на минималке.
Я забув взяти ключі з дому, тож доведеться дзвонити дружині.	Я забыл взять ключи дома, значит придётся звонить жене.
На зустрічі з клієнтом я зрозумів, що презентація злетіла.	На встрече с клиентом я понял, что презентация провалилась.
Я добрався до аеропорту, і виявив, що мій багаж загубився.	Я добрался до аэропорта и выяснил, что мой багаж потерялся.
Замовив ноутбук онлайн через мобільний додаток, але в моєму місті його немає в наявності.	Заказал ноутбук онлайн через мобильное приложение, но в моём городе его нет в наличии.
Ти бачив, як він обіймає її на вечірці? Я трохи ревную.	Ты видел, как он обнимает её на вечеринке? Я немного ревную.
На роботі зірвався дедлайн, тепер усі нервово сується.	На работе сорвался дедлайн, теперь все нервно суетятся.
Збираюся в похід у гори: рюкзак, карта, фонарик.	Собираюсь в поход в горы: рюкзак, карта, фонарик.
Замовив товар на маркетплейсі, але оплата зависла — капець, що за система.	Заказал товар на маркетплейсе, но оплата зависла — капец, что за система.
Вчора посварився з другом через гроші — тепер мовчимо.	Вчера поссорился с другом из-за денег — теперь молчим.
Люблю вечорами кататися на велосипеді біля озера.	Люблю по вечерам кататься на велосипеде возле озера.
Потрібно закрити звіт до кінця дня, інакше шеф зірветься.	Нужно закрыть отчет до конца дня, иначе шеф сорвётся.
Можеш нарешті зварити обід? Я вже голодний.	Сможешь наконец приготовить обед? Я уже голоден.
Ми забронювали квитки на потяг до Львова на суботу. Сподіваємось на хорошу погоду.	Мы забронировали билеты на поезд до Львова на субботу. Надеемся на хорошую погоду.
У додатку завис екран профілю, не можу увійти.	В приложении завис экран профиля, не могу войти.
Я повернувся з тренування, ноги втомлені, але настрій — огонь.	Я вернулся с тренировки, ноги усталые, но настроение — огонь.
Сьогодні збираюся зателефонувати клієнту вранці, але мій ноутбук чомусь завис.	Сегодня собираюсь позвонить клиенту утром, но мой ноутбук почему-то завис.
Я забув паспорт вдома, як мені тепер їхати?	Я забыл паспорт дома, как мне теперь ехать?
Знайшов хороший фотоапарат за 1200 доларів, але це занадто дорого.	Нашёл хороший фотоаппарат за 1200 долларов, но это слишком дорого.
Потрібно записатися до лікаря: температура піднялася, голова болить.	Нужно записаться к врачу: температура поднялась, голова болит.
Купив новий планшет і не можу повірити, як швидко він працює; хочу завантажити купу ігор.	Купил новый планшет и не могу поверить, как быстро он работает; хочу загрузить кучу игр.
Колего, сьогодні втомився як кінь, але треба дописати звіт до кінця дня.	Колега, сегодня устал как лошадь, но нужно дописать отчет до конца дня.
Як дістатися до вокзалу без карти? Я заблукав.	Как добраться до вокзала без карты? Я заблудился.
Замовив нову кофемашину онлайн, чекаю кур'єра — на вулиці знову дощ.	Заказал новую кофемашину онлайн, жду курьера — на улице снова идёт дождь.
Почав вчити гітару з нуля, пальці ще червоні від гри на струнах, але кайф.	Начал учить гитару с нуля, пальцы ещё красные от игры на струнах, но кайф.
Цього тижня ловлю себе на тому, що забув пити воду — голова туманна.	На этой неделе ловлю себя на том, что забыл пить воду — голова туманная.
Сьогодні на роботі була повна халепа, але ми швидко все порішали.	Сегодня на работе была полная беда, но мы быстро всё порешали.
Я нарешті зібрався з духом і почав вчитися грати на гітарі, хоча перші акорди звучать як поламані.	Я наконец-то взялся за гитару и начал учиться играть, хотя первые аккорды звучат как сломанные.
Завтра збираюся купити квитки на потяг до Карпат.	Завтра собираюсь купить билеты на поезд в Карпаты.
Я спробував новий месенджер, але там немає кнопки зворотного зв'язку.	Я попробовал новый мессенджер, но там нет кнопки обратной связи.
Обід був дуже смачний: борщ з пампушками, а чай з медом підняв настрій.	Обед был очень вкусный: борщ с пампушками, а чай с мёдом поднял настроение.
Вчора купив собі новий велосипед і тепер хочу випробувати його на трасі.	Вчера купил себе новый велосипед, и теперь хочу опробовать его на трассе.
Сьогодні на роботі стало складно: багато завдань і мало часу.	Сегодня на работе стало сложно: много задач и мало времени.
Ходімо в кіно зараз же! У нас новий фільм, і я вчора купив квитки.	Пойдем в кино прямо сейчас! У нас новый фильм, и я вчера купил билеты.
Увечері збираюся розібратися з гаджетом: оновив прошивку, але щось глючить.	Сегодня вечером собираюсь разобраться с гаджетом: обновил прошивку, но что-то глючит.
Чи бачив ти той мем із котиком? Такий смішний, що не можу зупинити сміх.	Ты видел тот мем с котиком? Такой смешной, что не могу остановить смех.
Я тільки що закінчив тренування, хочу води та піци.	Я только что закончил тренировку, хочу воды и пиццы.
Чи тут добре ловить Wi‑Fi?	Здесь нормально ловит Wi‑Fi?
Бляха, не можу знайти ключі.	Блин, не могу найти ключи.
Потрібно здати звіт до понеділка.	Нужно сдать отчет к понедельнику.
Класно, нарешті закінчився концерт — світло і спецефекти на сцені були неймовірні.	Класс, наконец-то закончился концерт — свет и спецэффекты на сцене были просто потрясающими!
Чувак, цей серіал просто бомба, не пропусти.	Чувак, этот сериал просто бомба, не пропусти.
Сьогодні зранку зламався будильник, і я проспав зустріч.	Сегодня утром сломался будильник, и я проспал встречу.
Дівчина подарувала мені сувенір з Карпат, він такий милий.	Девушка подарила мне сувенир из Карпат, он такой милый.
Університет змінив розклад: контрольна на завтра.	Университет изменил расписание: контрольная на завтра.
Купив новий телефон, але батарея тримає заряд менше, ніж обіцяли.	Купил новый телефон, но батарея держит заряд меньше, чем обещали.
На роботі сьогодні стільки задач, що голова йде обертом.	На работе сегодня столько задач, что голова идёт кругом.
Ти бачив той мем? Він такий дотепний, я сміявся до сліз.	Ты видел тот мем? Он такой дотепный, я смеялся до слёз.
Треба зібратися з силами і позайматися спортом, бо ходжу як черепаха після вихідних.	Нужно собраться с силами и заняться спортом, потому что хожу как черепаха после выходных.
Після останнього оновлення телефон зависає, глючить при кожній спробі щось зробити.	После последнего обновления телефон зависает, глючит при каждой попытке что-нибудь сделать.
Замовив піцу через застосунок — знижку не дали, але смак того вартий.	Заказал пиццу через приложение — скидку не дали, но вкус того стоит.
Я заблукав на вокзалі і не можу знайти вихід.	Я заблудился на вокзале и не могу найти выход.
Графік зірвався: начальник вимагає доповідь зараз же.	График сорвался: начальник требует доклад прямо сейчас.
